Bus (ID);Bus (numéro);Etat;Ligne (ID);Ligne (nom court);Code du sens;Destination;Coordonnées;Avance / Retard
-1312934160;-1312934160;Hors-service;;;;;48.099439, -1.63195;
-217898352;-217898352;Hors-service;;;;;48.099679, -1.633397;
-1531805152;-1531805152;Hors-service;;;;;48.09936, -1.632118;
-947922224;-947922224;Hors-service;;;;;48.0996, -1.632193;
877137456;877137456;Haut-le-pied;0200;200;0;Dépôt;48.124675, -1.627418;
-801781280;-801781280;En ligne;0214;214;0;La Poterie;48.112655, -1.606862;68
-765416256;-765416256;Hors-service;;;;;48.099433, -1.633228;
1424655360;1424655360;En ligne;0067;67;1;Brécé;48.109344, -1.502269;-146
-619275312;-619275312;En ligne;0214;214;0;La Poterie;48.112597, -1.607651;57
-582910288;-582910288;Hors-service;;;;;48.099437, -1.632676;
-1592770160;-1592770160;En ligne;0067;67;0;Rennes;48.109813, -1.677815;9
-436769344;-436769344;Hors-service;;;;;48.098958, -1.633388;
-35392384;-35392384;Hors-service;;;;;48.099758, -1.633229;
-1349299184;-1349299184;Hors-service;;;;;48.204318, -1.744115;
-1933182112;-1933182112;En ligne;0059;59;0;Bruz;48.083331, -1.696983;110
512125520;512125520;Hors-service;;;;;48.099357, -1.631956;
-1166793216;-1166793216;Hors-service;;;;;48.099357, -1.632185;
74383536;74383536;Hors-service;;;;;48.051999, -1.716748;
694631488;694631488;Hors-service;;;;;48.099352, -1.633234;
-1750676144;-1750676144;Hors-service;;;;;48.052398, -1.716676;
621901440;621901440;Hors-service;;;;;48.05216, -1.716991;
1789667296;1789667296;En ligne;0067;67;0;Rennes;48.114415, -1.601725;26
-1385664208;-1385664208;Hors-service;;;;;48.052559, -1.717389;
1498066256;1498066256;Hors-service;;;;;48.052473, -1.717072;
-2140288064;-2140288064;En ligne;0072;72;0;Pont-Péan;48.088796, -1.674515;0
-655640336;-655640336;En ligne;0061;61;1;Rennes;48.034428, -1.663434;54
1863078192;1863078192;Haut-le-pied;0240;240;1;Dépôt;48.148404, -1.837872;
-984287248;-984287248;En ligne;0220;220;1;Acigné;48.119032, -1.598197;0
-473134368;-473134368;En ligne;0161;161ex;0;Bourgbarré;48.04467, -1.664982;-104
-1519359264;-1519359264;Haut-le-pied;0240;240;1;Dépôt;48.144752, -1.83328;
-2115688080;-2115688080;En ligne;0161;161ex;0;Bourgbarré;48.087913, -1.674517;0
-290628400;-290628400;Haut-le-pied;0161;161ex;0;Dépôt;48.011558, -1.645216;
-1154347328;-1154347328;Haut-le-pied;0241;241;1;Dépôt;48.05072, -1.862187;
-1568170176;-1568170176;Hors-service;;;;;48.052398, -1.716918;
-108122432;-108122432;Hors-service;;;;;48.051999, -1.716748;
-971841360;-971841360;En ligne;0219;219;1;Saint-Jacques;48.078454, -1.715705;-43
-1020652272;-1020652272;En ligne;0061;61;1;Rennes;48.017355, -1.660438;0
256889504;256889504;En ligne;0074;74;1;Rennes;47.99271, -1.670395;52
123194448;123194448;Hors-service;;;;;48.052558, -1.717631;
-838146304;-838146304;En ligne;0059;59;1;Rennes;48.019424, -1.74596;153
804407408;804407408;Hors-service;;;;;48.052236, -1.716675;
305700416;305700416;Hors-service;;;;;48.017832, -1.661151;
439395472;439395472;Hors-service;;;;;48.052076, -1.717306;
1680572224;1680572224;En ligne;0237;237;0;Chavagne;48.050961, -1.797021;-35
549171392;549171392;Hors-service;;;;;48.146955, -1.706025;
986913376;986913376;En ligne;0161;161ex;0;Bourgbarré;47.998489, -1.625494;22
-789335392;-789335392;Hors-service;;;;;48.052556, -1.71747;
731677360;731677360;Hors-service;;;;;48.14696, -1.706107;
1169419344;1169419344;Hors-service;;;;;48.052236, -1.716675;
853218320;853218320;En ligne;0213;213;0;Orgères |  Bourgbarré;47.99488, -1.661387;144
914183328;914183328;En ligne;0083;83;1;Thorigné;48.152783, -1.588152;315
1351925312;1351925312;Hors-service;;;;;48.052236, -1.716675;
1653488;1653488;En ligne;0083;83;0;Betton;48.151497, -1.5788;27
1096689296;1096689296;En ligne;0077;77;0;Pacé;48.121037, -1.702908;0
-2066877168;-2066877168;Hors-service;;;;;48.052632, -1.717154;
1279195264;1279195264;Hors-service;;;;;48.110239, -1.642669;
1461701232;1461701232;Hors-service;;;;;48.096713, -1.625387;
366665424;366665424;Hors-service;;;;;48.147119, -1.706188;
-2103242192;-2103242192;Hors-service;;;;;48.147275, -1.70635;
2009219136;2009219136;Hors-service;;;;;48.096474, -1.624585;
1644207200;1644207200;Hors-service;;;;;48.097195, -1.624352;
86829424;86829424;Hors-service;;;;;48.147756, -1.703794;
-1738230256;-1738230256;Hors-service;;;;;48.146793, -1.705553;
1826713168;1826713168;Hors-service;;;;;48.096397, -1.625157;
816853296;816853296;Hors-service;;;;;48.096232, -1.625466;
-825700416;-825700416;Hors-service;;;;;48.147197, -1.706276;
-1920736224;-1920736224;Hors-service;;;;;48.096792, -1.624748;
999359264;999359264;Hors-service;;;;;48.096159, -1.625715;
-460688480;-460688480;Hors-service;;;;;48.096232, -1.625237;
269335392;269335392;En ligne;0051;51;0;Rennes;48.155444, -1.651118;163
1911889104;1911889104;En ligne;0051;51;1;Betton;48.134132, -1.658034;-34
1181865232;1181865232;En ligne;0075;75;1;Vern Nouvoitou;48.085281, -1.643759;107
634347328;634347328;En ligne;0054;54;0;Le Rheu / Cintré;48.103596, -1.877917;778
-1470548352;-1470548352;En ligne;0054;54;0;Le Rheu / Cintré;48.10742, -1.717013;246
1364371200;1364371200;En ligne;0054;54;1;Rennes;48.097252, -1.760662;0
1546877168;1546877168;En ligne;0075;75;1;Vern Nouvoitou;48.058687, -1.590287;154
-1835560288;-1835560288;En ligne;0062;62;0;Vern-sur-Seiche;48.087678, -1.643552;0
1729383136;1729383136;En ligne;0083;83;1;Thorigné;48.146031, -1.656902;44
-1653054320;-1653054320;Haut-le-pied;0154;154ex;0;Dépôt;48.075215, -1.850409;
2094395072;2094395072;Hors-service;;;;;48.096872, -1.624997;
-1288042384;-1288042384;En ligne;0055;55;1;Rennes;48.060752, -1.875753;130
-2018066256;-2018066256;En ligne;0173;173ex;0;Corps-Nuds;48.086291, -1.644197;-773
2118995056;2118995056;Hors-service;;;;;48.110476, -1.643066;
-1993466272;-1993466272;Hors-service;;;;;48.110313, -1.642837;
