Geo Point;Geo Shape;gml_id;id_rva_fcd_avt_20230328;denomination;sens_circul;freeflowtime;type;id_troncon;length;thresholds
48.128567545833356, -1.6470706490584457;"{""coordinates"": [[[-1.64556999999854, 48.12896000000398], [-1.646339999995289, 48.128769999998376], [-1.647939999998338, 48.12832999999919], [-1.648250000001423, 48.12825000000162], [-1.648569999996113, 48.12817000000392]]], ""type"": ""MultiLineString""}";rva_fcd_avt_20230328.1172;1172;Rue de Fougères;Dans les 2 sens;17;Rue;45028_G;240.007678926114;20_40
48.12811143698715, -1.6488242467104393;"{""coordinates"": [[[-1.648569999996113, 48.12817000000392], [-1.648859999998236, 48.128100000002824], [-1.649080000005488, 48.12806000000361]]], ""type"": ""MultiLineString""}";rva_fcd_avt_20230328.1174;1174;Rue de Fougères;Dans les 2 sens;3;Rue;45106_G;39.9181477430739;20_40
48.12793499999953, -1.6834349999953289;"{""coordinates"": [[[-1.683409999997547, 48.12788000000312], [-1.68345999999311, 48.12798999999595]]], ""type"": ""MultiLineString""}";rva_fcd_avt_20230328.1175;1175;Avenue Gros Malhon;Dans les 2 sens;1;Avenue;45135_D;12.7849915172663;20_40
48.129237529217406, -1.683934775324248;"{""coordinates"": [[[-1.683679999998087, 48.12852999999973], [-1.683759999999424, 48.12874999999613], [-1.683829999998944, 48.12893999999749], [-1.683889999996011, 48.12912000000095], [-1.684019999999171, 48.12947000000138], [-1.684187423252144, 48.12994583448839]]], ""type"": ""MultiLineString""}";rva_fcd_avt_20230328.1177;1177;Avenue Gros Malhon;Dans les 2 sens;12;Avenue;45136_D;161.903525864054;20_40
48.13028631647843, -1.6843142474502875;"{""coordinates"": [[[-1.684189665238391, 48.12995220648423], [-1.684210000002214, 48.13000999999977], [-1.684439999997203, 48.130620000003084]]], ""type"": ""MultiLineString""}";rva_fcd_avt_20230328.1179;1179;Avenue Gros Malhon;Dans les 2 sens;9;Avenue;45137_D;76.557094143811;20_40
48.13028631648833, -1.6843142474543689;"{""coordinates"": [[[-1.684439999997203, 48.130620000003084], [-1.684210000002214, 48.13000999999977], [-1.684189665253434, 48.129952206501635]]], ""type"": ""MultiLineString""}";rva_fcd_avt_20230328.1180;1180;Avenue Gros Malhon;Dans les 2 sens;9;Avenue;45137_G;76.5570923072361;20_40
48.127171275405495, -1.6865360686783653;"{""coordinates"": [[[-1.686562137361761, 48.12721255081526], [-1.686509999994969, 48.12712999999573]]], ""type"": ""MultiLineString""}";rva_fcd_avt_20230328.1183;1183;Rue de Saint-Malo;Dans les 2 sens;5;Rue;45147_G;9.965879885517;20_40
48.1245808612438, -1.7145331357764204;"{""coordinates"": [[[-1.713359999996749, 48.12436000000077], [-1.714249999994221, 48.12451999999848], [-1.71549, 48.12477000000144], [-1.715703672375083, 48.124815199923994]]], ""type"": ""MultiLineString""}";rva_fcd_avt_20230328.1189;1189;Porte de Villejean;Dans le sens de numérisation;15;Porte;45236_D;181.692610026031;20_40
48.124498499243984, -1.7145663878671813;"{""coordinates"": [[[-1.715725249993612, 48.124752859809455], [-1.714909999995642, 48.12456999999643], [-1.714279999997081, 48.12443000000316], [-1.71396999999472, 48.12435999999684], [-1.713730000000247, 48.1243200000015], [-1.713650000002302, 48.12430999999559], [-1.71340100750899, 48.12428127010051]]], ""type"": ""MultiLineString""}";rva_fcd_avt_20230328.1190;1190;Porte de Villejean;Dans le sens de numérisation;18;Porte;45236_G;181.059647915545;20_40
48.09708925636912, -1.6750172648974329;"{""coordinates"": [[[-1.67510999999408, 48.09738999999657], [-1.675049999995019, 48.097200000001045], [-1.674999999994471, 48.09702000000189], [-1.674919999997476, 48.0967900000025]]], ""type"": ""MultiLineString""}";rva_fcd_avt_20230328.1203;1203;Rue de l'Alma;Dans le sens de numérisation;8;Rue;45370_D;68.211435917158;20_40
48.10631000000157, -1.66771000000156;"{""coordinates"": [[[-1.667520000001903, 48.10625000000265], [-1.667900000001217, 48.10637000000048]]], ""type"": ""MultiLineString""}";rva_fcd_avt_20230328.1207;1207;Rue Saint-Hélier;Dans les 2 sens;2;Rue;45398_G;31.2872135725362;20_40
48.105966590095925, -1.666625700389733;"{""coordinates"": [[[-1.666029999999469, 48.10570000000366], [-1.666109999998634, 48.105759999995996], [-1.666209999994669, 48.1058200000041], [-1.666319999997272, 48.105869999999605], [-1.666419999998236, 48.10590999999926], [-1.666529999998261, 48.105950000004164], [-1.667010000001205, 48.106100000003266], [-1.667249999996976, 48.10616999999621]]], ""type"": ""MultiLineString""}";rva_fcd_avt_20230328.1209;1209;Rue Saint-Hélier;Dans les 2 sens;8;Rue;45399_G;105.780200196816;20_40
48.102624773203516, -1.6611251340322937;"{""coordinates"": [[[-1.661369999995043, 48.10277000000458], [-1.661050000006411, 48.10258000000021], [-1.660879999998518, 48.10247999999953]]], ""type"": ""MultiLineString""}";rva_fcd_avt_20230328.1214;1214;Rue Saint-Hélier;Dans les 2 sens;4;Rue;45405_D;48.699095555783;20_40
48.10388727898875, -1.6632149692071707;"{""coordinates"": [[[-1.663719999997577, 48.104199999998116], [-1.6635699999994, 48.10411], [-1.66344000000213, 48.10403000000207], [-1.663219999994232, 48.10388999999985], [-1.662711418068817, 48.10357213629337]]], ""type"": ""MultiLineString""}";rva_fcd_avt_20230328.1220;1220;Rue Saint-Hélier;Dans le sens de numérisation;8;Rue;45469;102.552432307741;20_40
