Geo Point;Geo Shape;gml_id;id;id_evt;commune;quartier;localisation;commentaire;date_deb;date_fin;type;interlocuteur;libelle;niv_perturbation;date_maj
48.1109027867584, -1.6854055540412103;"{""coordinates"": [[[-1.685201705584906, 48.11047543397691], [-1.685383539839664, 48.11085666026391], [-1.685508843056028, 48.111119174954496], [-1.685605083780229, 48.111320969670075], [-1.685605791776582, 48.11133108833262]]], ""type"": ""MultiLineString""}";v_geotravaux_evenement_01j.fid--d2addc_19786fd6cf1_-1a04;44;72833;35238 - Rennes;1 - Centre;Rue Nantaise, de la Place Maréchal Foch jusqu'au 10;Rétrécissement temporaire de largeur de voie;2024-12-20T01:00:00+01:00;2025-08-01T02:00:00+02:00;Rétrécissement temporaire de largeur de voie;;;Impact limité;2024-12-06T19:15:23+01:00
48.11940063505558, -1.6839731509552738;"{""coordinates"": [[[-1.683159709981929, 48.119957936858306], [-1.684635735174968, 48.11890087472904], [-1.684718310341724, 48.118842545105636], [-1.684885239270821, 48.118724731904315], [-1.68500667406024, 48.11861571017256], [-1.685114360830463, 48.11849904858516], [-1.685162503375427, 48.11851234891579], [-1.685020395030953, 48.11865942213181], [-1.684906631870217, 48.118751801341574], [-1.684746070323719, 48.11886690761773], [-1.682732385717365, 48.12033001070837], [-1.68271053791787, 48.12027960107081], [-1.682483389166665, 48.1204422662116]]], ""type"": ""MultiLineString""}";v_geotravaux_evenement_01j.fid--d2addc_19786fd6cf1_-1a02;48;72907;35238 - Rennes;1 - Centre;du 47 au 50bis Boulevard de Chézy, dans la contre-allée;Circulation à double sens;2025-01-06T01:00:00+01:00;2026-07-31T02:00:00+02:00;Circulation à double sens;;;Impact limité;2024-12-12T19:24:40+01:00
48.118682481971476, -1.6602777561240598;"{""coordinates"": [[[-1.660223466056933, 48.11861459732167], [-1.659934474025305, 48.118242534309786]], [[-1.66035570251013, 48.118784843208594], [-1.660628035049705, 48.119127107340915]]], ""type"": ""MultiLineString""}";v_geotravaux_evenement_01j.fid--d2addc_19786fd6cf1_-19ff;55;73429;35238 - Rennes;2 - Thabor / Saint-Hélier / Alphonse Guérin / Baud-Chardonnet, 6 - Jeanne d'Arc / Longs Champs / Beaulieu;du 63 au 71 Boulevard de Metz;Neutralisation de voie;2025-02-03T01:00:00+01:00;2025-11-30T01:00:00+01:00;Neutralisation de voie;;d'installation de chantier;Impact limité;2025-02-03T10:18:42+01:00
48.101329715428804, -1.6553156813330554;"{""coordinates"": [[[-1.655171597536679, 48.10160104342985], [-1.655459765129432, 48.10105838742776]]], ""type"": ""MultiLineString""}";v_geotravaux_evenement_01j.fid--d2addc_19786fd6cf1_-19fc;58;73508;35238 - Rennes;7 - La Pommeraie;Rue Michel Colomb, de la Rue de Châteaugiron jusqu'au 33;Rétrécissement temporaire de largeur de voie;2025-02-10T01:00:00+01:00;2025-12-31T01:00:00+01:00;Rétrécissement temporaire de largeur de voie;;d'installation de chantier;Impact limité;2025-02-04T19:16:40+01:00
47.960014833880095, -1.683565020985375;"{""coordinates"": [[[-1.68547278967692, 47.9618322952339], [-1.684905532492271, 47.96155718890537], [-1.684548116423992, 47.961328541656535], [-1.68338772693742, 47.95995571853166]], [[-1.68338772693742, 47.95995571853166], [-1.683176169397422, 47.95976454750869], [-1.682271450960004, 47.95871121335564], [-1.682258913829374, 47.95857272483622], [-1.682457632086027, 47.95812154206916], [-1.682711145326954, 47.95798956131925]], [[-1.683960661812139, 47.959775935555186], [-1.683662559471892, 47.95984458435401], [-1.68338772693742, 47.95995571853166]]], ""type"": ""MultiLineString""}";v_geotravaux_evenement_01j.fid--d2addc_19786fd6cf1_-19f8;77;74095;35208 - Orgères;;Rue de l'Epine;Rétrécissement temporaire de largeur de voie - PLATEFORMES;2025-03-31T02:00:00+02:00;2025-06-30T02:00:00+02:00;Rétrécissement temporaire de largeur de voie - PLATEFORMES;;sur réseaux ou ouvrages électriques;Impact limité;2025-03-12T19:17:19+01:00
48.21277576037557, -1.6298162942606371;"{""coordinates"": [[[-1.630072333346427, 48.2121526333856], [-1.629859024587103, 48.21268492360562], [-1.629552218285199, 48.21339554276478]]], ""type"": ""MultiLineString""}";v_geotravaux_evenement_01j.fid--d2addc_19786fd6cf1_-19f7;79;74454;35079 - Chevaigné;;du 9 au 17ter Rue de la Mairie;Circulation interdite;2025-04-07T02:00:00+02:00;2025-06-27T02:00:00+02:00;Circulation interdite;;d'aménagement de la voirie;Impact limité;2025-04-02T20:18:09+02:00
48.11178725268919, -1.660998071794571;"{""coordinates"": [[[-1.660909407169172, 48.111190779419736], [-1.661412208137109, 48.111591103145074], [-1.661463770043356, 48.11172390194312]], [[-1.660436009962499, 48.110747993331636], [-1.660802850040542, 48.111105983665446], [-1.660909407169172, 48.111190779419736]], [[-1.661463770043356, 48.11172390194312], [-1.661448131563504, 48.1119810685433], [-1.661610238231569, 48.11225166360775]], [[-1.661610238231569, 48.11225166360775], [-1.661508367251122, 48.112270841278004], [-1.661277316016876, 48.11233366256005]], [[-1.661277316016876, 48.11233366256005], [-1.660643727829716, 48.11250592651074]], [[-1.662484082939784, 48.11201133174477], [-1.661610238231569, 48.11225166360775]], [[-1.660909407169172, 48.111190779419736], [-1.660150494680458, 48.11141643981021]], [[-1.661132536574233, 48.111682032442495], [-1.660499099905898, 48.111854013156915]], [[-1.660499099905898, 48.111854013156915], [-1.660146871142566, 48.1119495648594]], [[-1.661255545197834, 48.11164863451168], [-1.661132536574233, 48.111682032442495]], [[-1.660150494680458, 48.11141643981021], [-1.660127569986202, 48.11148584964109], [-1.660280632439253, 48.1116043530997], [-1.660499099905898, 48.111854013156915]], [[-1.661463770043356, 48.11172390194312], [-1.661255545197834, 48.11164863451168]], [[-1.660499099905898, 48.111854013156915], [-1.660645547153521, 48.112205979250106], [-1.660643727829716, 48.11250592651074]]], ""type"": ""MultiLineString""}";v_geotravaux_evenement_01j.fid--d2addc_19786fd6cf1_-19f3;97;74705;35238 - Rennes;2 - Thabor / Saint-Hélier / Alphonse Guérin / Baud-Chardonnet;Rue Raoul Ponchon, Rue Jean Malo-Renault, Square Roland Garros;Rétrécissement temporaire de largeur de voie;2025-05-02T02:00:00+02:00;2025-07-25T02:00:00+02:00;Rétrécissement temporaire de largeur de voie;;;Impact limité;2025-04-16T20:18:26+02:00
47.99394343084367, -1.7404324185574591;"{""coordinates"": [[[-1.739689611348998, 47.99809873467479], [-1.739716880217392, 47.99821476868757], [-1.739734525475678, 47.99840716534704], [-1.739642888383921, 47.99854414124424]], [[-1.740161201825752, 47.99904322093088], [-1.740809150373182, 47.99897576029121], [-1.741405405107198, 47.99893613014632], [-1.741603276468702, 47.998936517631336], [-1.74230488242214, 47.99900260822405], [-1.742717690111679, 47.99905023290133], [-1.74302281827787, 47.9990698361902]], [[-1.741885468400791, 47.987414830839256], [-1.740785758455997, 47.988405292781565], [-1.740593209180556, 47.98862884338202], [-1.740387087992282, 47.98892372192169], [-1.740193208132354, 47.98929800810341], [-1.740085549064597, 47.98963876343959], [-1.740001079096405, 47.9899619108921], [-1.73998413064429, 47.99037217207279], [-1.740029788806378, 47.99183752094051], [-1.740066571421476, 47.99301797339895], [-1.740094795334566, 47.9944318743019], [-1.740046363534237, 47.994823456881804], [-1.739911700585951, 47.99546500525136], [-1.739660933415119, 47.99678828007334], [-1.739622875710625, 47.99718975783097], [-1.739597327689836, 47.99756041612615], [-1.739651780332899, 47.997937758397484], [-1.739689611348998, 47.99809873467479]]], ""type"": ""MultiLineString""}";v_geotravaux_evenement_01j.fid--d2addc_19786fd6cf1_-19db;201;75297;35047 - Bruz;;la Roche Marguerite;Rétrécissement temporaire de largeur de voie - PLATEFORMES;2025-06-02T02:00:00+02:00;2025-06-20T02:00:00+02:00;Rétrécissement temporaire de largeur de voie - PLATEFORMES;;sur réseaux ou ouvrages de télécommunications;Impact limité;2025-05-26T20:19:22+02:00
48.131225459629924, -1.6573932906346718;"{""coordinates"": [[[-1.658083058672776, 48.13121735462619], [-1.656703522596568, 48.13123356463366]]], ""type"": ""MultiLineString""}";v_geotravaux_evenement_01j.fid--d2addc_19786fd6cf1_-19d2;190;75270;35238 - Rennes;5 - Maurepas / Bellangerais;Rue Henry Dunant du 8 square Henry Dunant;Circulation interdite;2025-06-02T02:00:00+02:00;2025-07-25T02:00:00+02:00;Circulation interdite;;sur réseaux ou ouvrages de transport ou distribution de chaleur;Impact limité;2025-05-26T20:19:22+02:00
48.13163056285288, -1.65674968360952;"{""coordinates"": [[[-1.656795528788722, 48.13202629778275], [-1.656703838430317, 48.131234827922995]]], ""type"": ""MultiLineString""}";v_geotravaux_evenement_01j.fid--d2addc_19786fd6cf1_-19d1;162;75243;35238 - Rennes;5 - Maurepas / Bellangerais;Rue Guy Ropartz, de la Rue du Gast jusqu'à la Rue Henry Dunant au niveau de la contre-allée;Circulation interdite;2025-06-02T02:00:00+02:00;2025-07-25T02:00:00+02:00;Circulation interdite;;sur réseaux ou ouvrages de transport ou distribution de chaleur;Impact limité;2025-05-26T20:19:22+02:00
48.10036693782492, -1.6694535137572863;"{""coordinates"": [[[-1.669318122645127, 48.100057233519394], [-1.66948572505059, 48.10042265805294], [-1.669572398691406, 48.100683151143265]]], ""type"": ""MultiLineString""}";v_geotravaux_evenement_01j.fid--d2addc_19786fd6cf1_-19ce;214;75389;35238 - Rennes;8 - Sud gare;Rue des Ormeaux, de la Rue Ginguené jusqu'à la Rue Isaac Le Chapelier;Circulation à double sens;2025-06-05T02:00:00+02:00;2025-06-27T02:00:00+02:00;Circulation à double sens;;d'aménagement de voirie rue de chatillon;Impact limité;2025-06-04T20:20:42+02:00
48.10036693782492, -1.6694535137572863;"{""coordinates"": [[[-1.669318122645127, 48.100057233519394], [-1.66948572505059, 48.10042265805294], [-1.669572398691406, 48.100683151143265]]], ""type"": ""MultiLineString""}";v_geotravaux_evenement_01j.fid--d2addc_19786fd6cf1_-19cd;215;75392;35238 - Rennes;8 - Sud gare;Rue des Ormeaux, de la Rue Ginguené jusqu'à la Rue Isaac Le Chapelier;Mise en impasse;2025-06-05T02:00:00+02:00;2025-06-27T02:00:00+02:00;Mise en impasse;;d'aménagement de voirie rue de chatillon;Impact limité;2025-06-04T20:20:42+02:00
47.9548491657503, -1.6890727833680566;"{""coordinates"": [[[-1.6890509343025, 47.954885372636674], [-1.689094632433614, 47.95481295886393]]], ""type"": ""MultiLineString""}";v_geotravaux_evenement_01j.fid--d2addc_19786fd6cf1_-19cc;216;75261;35139 - Laillé;;22 Montheleu;Rétrécissement temporaire de largeur de voie - PLATEFORMES;2025-06-06T02:00:00+02:00;2025-06-20T02:00:00+02:00;Rétrécissement temporaire de largeur de voie - PLATEFORMES;;sur réseaux ou ouvrages de télécommunications;Impact limité;2025-05-26T20:19:22+02:00
48.12167333476132, -1.7135151683169676;"{""coordinates"": [[[-1.713502508256435, 48.12196420740366], [-1.713527828377499, 48.12138246211898]]], ""type"": ""MultiLineString""}";v_geotravaux_evenement_01j.fid--d2addc_19786fd6cf1_-19cb;219;75473;35238 - Rennes;10 - Villejean / Beauregard;Boulevard d'Anjou, du Square de Gascogne jusqu'à l'Avenue de Guyenne;Circulation interdite;2025-06-07T02:00:00+02:00;2025-06-26T02:00:00+02:00;Circulation interdite;;de prolongation de la ligne A du métro;Impact limité;2025-06-06T20:20:01+02:00
48.21236419851881, -1.893442158212649;"{""coordinates"": [[[-1.892582655949584, 48.21427849542504], [-1.892564751420434, 48.21433408712237]], [[-1.892676990798355, 48.21400040892205], [-1.892746543000116, 48.21380366810078], [-1.893079311069186, 48.213035334759375], [-1.893165421152135, 48.21281518475189]], [[-1.894214433183045, 48.211054731090684], [-1.894230022298407, 48.2108451282062], [-1.894247112301933, 48.2104822861529], [-1.894260503519532, 48.21037408094195], [-1.894274412410569, 48.21032201725967]], [[-1.893846528045677, 48.21175110973241], [-1.893616904964626, 48.2120716373782], [-1.89352378720907, 48.21221083696768]]], ""type"": ""MultiLineString""}";v_geotravaux_evenement_01j.fid--d2addc_19786fd6cf1_-19c5;236;75202;35245 - Romillé;;Rue de la Vaunoise (RD68) : section entre la Rue Anne Macé et le n°12 Rue de Vaunoise;Rétrécissement temporaire de largeur de voie - PLATEFORMES;2025-06-10T02:00:00+02:00;2025-06-20T02:00:00+02:00;Rétrécissement temporaire de largeur de voie - PLATEFORMES;;;Impact limité;2025-05-22T20:19:47+02:00
48.11843059619456, -1.665871252631853;"{""coordinates"": [[[-1.665778508460366, 48.11820176686975], [-1.66596399680334, 48.11865942551937]]], ""type"": ""MultiLineString""}";v_geotravaux_evenement_01j.fid--d2addc_19786fd6cf1_-19c0;257;75465;35238 - Rennes;2 - Thabor / Saint-Hélier / Alphonse Guérin / Baud-Chardonnet;du 4 au 10 Rue Duboys des Sauzais;Circulation interdite;2025-06-10T02:00:00+02:00;2025-06-20T02:00:00+02:00;Circulation interdite;;;Impact limité;2025-06-06T20:20:01+02:00
48.15623333631503, -1.7054202734343593;"{""coordinates"": [[[-1.705653915293825, 48.15617422347907], [-1.705186631574893, 48.156292449150996]]], ""type"": ""MultiLineString""}";v_geotravaux_evenement_01j.fid--d2addc_19786fd6cf1_-19bf;228;75641;35189 - Montgermont;;Rue Galilée;Circulation interdite;2025-06-10T02:00:00+02:00;2025-06-27T02:00:00+02:00;Circulation interdite;;sur réseaux ou ouvrages de gaz;Impact limité;2025-06-16T20:20:29+02:00
48.15540195990954, -1.7049845135533817;"{""coordinates"": [[[-1.705912332881936, 48.15609098732694], [-1.705856088216705, 48.15593745979023], [-1.70583326485649, 48.15575981045824], [-1.705868238815895, 48.15539958136448], [-1.705983457597211, 48.155063320479485], [-1.706099765248328, 48.15480500388752]], [[-1.705064812697269, 48.15434226678694], [-1.704834831383833, 48.154754808973834], [-1.704724602259204, 48.154993234573844], [-1.704602883519692, 48.155478353052004]], [[-1.704602883519692, 48.155478353052004], [-1.70399570930969, 48.15550770327982], [-1.703746002986157, 48.155481672891916]], [[-1.704602883519692, 48.155478353052004], [-1.704590097384877, 48.15563514915535], [-1.704601683271965, 48.15583624464163], [-1.70466757975752, 48.15618686346443], [-1.704720380201179, 48.156320908414465], [-1.704771758526804, 48.15636410461741]]], ""type"": ""MultiLineString""}";v_geotravaux_evenement_01j.fid--d2addc_19786fd6cf1_-19be;229;75624;35189 - Montgermont;;Rue Marconi, de la Rue Galilée jusqu'à la Rue Edison,Rue Edison, de la Rue Marconi jusqu'à la Rue Galilée;Circulation alternée;2025-06-10T02:00:00+02:00;2025-06-27T02:00:00+02:00;Circulation alternée;;sur réseaux ou ouvrages de gaz;Impact limité;2025-06-16T20:20:29+02:00
48.09673004633171, -1.67433124729917;"{""coordinates"": [[[-1.674851405223377, 48.096787738475264], [-1.673811089374962, 48.09667235418815]]], ""type"": ""MultiLineString""}";v_geotravaux_evenement_01j.fid--d2addc_19786fd6cf1_-19b6;254;75229;35238 - Rennes;8 - Sud gare;Rue Jean-Baptiste Barré, de la Rue de l'Alma jusqu'à la Rue Corentin Carré;Circulation interdite;2025-06-10T02:00:00+02:00;2025-07-04T02:00:00+02:00;Circulation interdite;;sur réseaux ou ouvrages d'eaux usées / assainissement;Impact limité;2025-05-23T20:20:01+02:00
48.095768784959134, -1.6647896851902122;"{""coordinates"": [[[-1.665101750346806, 48.09584123849471], [-1.664477620033618, 48.09569633142357]]], ""type"": ""MultiLineString""}";v_geotravaux_evenement_01j.fid--d2addc_19786fd6cf1_-19ae;268;75117;35238 - Rennes;8 - Sud gare;du 3 au 13 Rue Bernard Salmon;Rétrécissement temporaire de largeur de voie;2025-06-12T02:00:00+02:00;2025-06-20T02:00:00+02:00;Rétrécissement temporaire de largeur de voie;;sur réseaux ou ouvrages électriques;Impact limité;2025-05-19T20:19:32+02:00
48.12952069160337, -1.6634051499097586;"{""coordinates"": [[[-1.663449718461989, 48.12945746965889], [-1.663360581357528, 48.12958391354785]]], ""type"": ""MultiLineString""}";v_geotravaux_evenement_01j.fid--d2addc_19786fd6cf1_-19a8;280;75509;35238 - Rennes;5 - Maurepas / Bellangerais;face au 203 Avenue Général George S. Patton;Rétrécissement temporaire de largeur de voie;2025-06-13T02:00:00+02:00;2025-06-27T02:00:00+02:00;Rétrécissement temporaire de largeur de voie;;;Impact limité;2025-06-10T20:20:06+02:00
48.13063254880305, -1.660780222702335;"{""coordinates"": [[[-1.660781006880049, 48.13064956371099], [-1.660779438524621, 48.13061553389512]]], ""type"": ""MultiLineString""}";v_geotravaux_evenement_01j.fid--d2addc_19786fd6cf1_-19a4;324;75408;35238 - Rennes;5 - Maurepas / Bellangerais;face au 4 Rue Jean-François Boursault;Circulation alternée;2025-06-16T02:00:00+02:00;2025-06-20T02:00:00+02:00;Circulation alternée;;de viabilisation;Impact limité;2025-06-04T20:20:42+02:00
