Geo Point;Geo Shape;gml_id;id;plateforme;viabilite;h_rm
48.13487657909945, -1.6935210519047894;"{""coordinates"": [[[-1.693413971651732, 48.13483126183534], [-1.693528698544905, 48.13469572765123], [-1.694153426872281, 48.13420540854088]], [[-1.694153426872281, 48.13420540854088], [-1.694191448451942, 48.13421417796829], [-1.694231564784978, 48.13421606143574], [-1.694271043588011, 48.13421092985143], [-1.694307192214985, 48.134199133687574], [-1.694337547727768, 48.13418147630062], [-1.694360043135761, 48.13415916209204], [-1.694373143621507, 48.13413371075097], [-1.694375955891918, 48.13410685727544], [-1.694368291143935, 48.134080430458575], [-1.694324006331803, 48.13403567246556], [-1.694290955806201, 48.13402085490512], [-1.694252934352063, 48.13401208551019], [-1.694212816917429, 48.13401020300259], [-1.694173339521532, 48.13401533361467], [-1.694137190992701, 48.134027129736985], [-1.694106835502153, 48.134044787071716], [-1.694084340034535, 48.1340671012314], [-1.694071239423269, 48.134092552539975], [-1.694068425735705, 48.13411940696061], [-1.694076091595303, 48.13414583284475], [-1.694093713703709, 48.13417003045869], [-1.694120091873238, 48.134190350235194], [-1.694153426872281, 48.13420540854088]], [[-1.693249085862535, 48.13512384807873], [-1.693282529775838, 48.135128064902055], [-1.693315255950418, 48.13512902655847], [-1.693347863789531, 48.135126929357874], [-1.693379718966539, 48.13512181449891], [-1.693410200597592, 48.13511378210383], [-1.693438714490258, 48.135102988875744], [-1.693464707569706, 48.13508964390554], [-1.693487673080148, 48.13507400665742], [-1.693507163669612, 48.13505638283047], [-1.693522801301734, 48.135037114943316], [-1.693534279529163, 48.135016577735726], [-1.693539898255898, 48.13500096612586], [-1.693543139430107, 48.134985055948256], [-1.693543227131048, 48.134959217468236], [-1.693536959906776, 48.13493372117726], [-1.693524507563312, 48.1349092638909], [-1.69350938797023, 48.13488981190613], [-1.693490370028698, 48.13487195710206], [-1.693467826078959, 48.13485604832189], [-1.693442193506647, 48.13484239481051], [-1.693413971651732, 48.13483126183534]], [[-1.693413971651732, 48.13483126183534], [-1.69338371058892, 48.13482286573781], [-1.693351997389404, 48.13481737088973], [-1.693319450266151, 48.134814884525824], [-1.693286703494746, 48.13481545375475], [-1.693254394165874, 48.13481906790185], [-1.693223149952011, 48.13482565720603], [-1.693193579719875, 48.13483509320283], [-1.693166259023436, 48.13484719201938], [-1.693141721043137, 48.134861718348255], [-1.693120440819257, 48.13487838969491], [-1.693101444437, 48.13489861814091], [-1.693087249122354, 48.13492054027869], [-1.693079115769048, 48.13494042555547], [-1.693074939465867, 48.134960851336494], [-1.693074790675267, 48.13498146783151], [-1.693078003676852, 48.13499962058339], [-1.693084372667251, 48.13501739588096], [-1.693093810713416, 48.135034548572115], [-1.693113363136016, 48.13505861440943], [-1.693138804463372, 48.1350800728503], [-1.693162721396722, 48.13509473895534], [-1.693189416989974, 48.13510707142808], [-1.693218387972321, 48.13511683579323], [-1.693249085862535, 48.13512384807873]], [[-1.692826820681438, 48.13615964321698], [-1.692940078349167, 48.13596151403449], [-1.692993580469232, 48.135706641315316], [-1.693069805932748, 48.13547453091244], [-1.693249085862535, 48.13512384807873]]], ""type"": ""MultiLineString""}";circuit_vh.284;284;RN;N2;non
48.10339788978248, -1.6769291265926096;"{""coordinates"": [[[-1.676370625358242, 48.10166092351951], [-1.676485212781493, 48.10204192253365], [-1.676561454712006, 48.10239465575189], [-1.676602249325952, 48.102520179436674], [-1.676710379071435, 48.10285288745274], [-1.676737819402414, 48.10293038279172], [-1.676934312575696, 48.103493397137], [-1.677096169378262, 48.103867426716455], [-1.677285310374929, 48.104351810050254], [-1.677323615843623, 48.10444990967682], [-1.677527352759488, 48.10512247334244]]], ""type"": ""MultiLineString""}";circuit_vh.258;258;RS;N2;non
48.12998430210158, -1.6310622273874846;"{""coordinates"": [[[-1.628920238184402, 48.12727966479945], [-1.628950735038397, 48.12733357835352], [-1.629051244110397, 48.12752535126116], [-1.629184487478579, 48.12779066033616], [-1.629316353978991, 48.12801214420096], [-1.629465000310461, 48.12824511659428], [-1.629786581961183, 48.128744683121404], [-1.6299704096851, 48.12898119462747], [-1.630190106073975, 48.12922292972791], [-1.630425360171387, 48.12945953300568], [-1.630719404145292, 48.1297062935513], [-1.632322842374311, 48.13116691943011], [-1.632504026640021, 48.13135731074894], [-1.632593305037772, 48.13146409252392], [-1.632656255090841, 48.13156247367124], [-1.632705834484452, 48.13165485083708], [-1.63283590458737, 48.1318428851942], [-1.632865212746209, 48.131907378834846], [-1.632960726536842, 48.13211755936797], [-1.633065104715315, 48.132554354536126], [-1.633178366676803, 48.13266252530727]]], ""type"": ""MultiLineString""}";circuit_vh.301;301;RN;N2;non
48.13027299208861, -1.6955547921216507;"{""coordinates"": [[[-1.696039447677645, 48.129109027392225], [-1.695987277691255, 48.129204377334624], [-1.695893509768854, 48.129375753950235], [-1.695795905503591, 48.12962254932089], [-1.695724618400341, 48.12981004934756], [-1.69563371463024, 48.13004914331481], [-1.695318533894038, 48.13088572967967], [-1.695289209467717, 48.13097629711905], [-1.695147204941164, 48.13134727932407], [-1.69514145347193, 48.13139155703174], [-1.695132543787419, 48.13146014802731]]], ""type"": ""MultiLineString""}";circuit_vh.325;325;RN;N3;non
48.12709296587531, -1.6932581323834535;"{""coordinates"": [[[-1.692968568526705, 48.1262522433644], [-1.693467817113751, 48.1276778216885], [-1.69349112823827, 48.12788655237047], [-1.693494981115533, 48.12794533856612]]], ""type"": ""MultiLineString""}";circuit_vh.328;328;RN;N3;non
48.08246218275533, -1.6790393184760217;"{""coordinates"": [[[-1.682344210141562, 48.08236130772391], [-1.682230589057174, 48.082355248593345], [-1.681146864777481, 48.08233595340734], [-1.677072922920299, 48.08226332818164], [-1.676954955726736, 48.08229263872212], [-1.676878858259765, 48.08234780463589], [-1.676821504421173, 48.08312443523479], [-1.676887056706942, 48.08330555063549], [-1.676912155635356, 48.083687168803934], [-1.676916206233923, 48.083752535830726]]], ""type"": ""MultiLineString""}";circuit_vh.343;343;RS;N3;non
48.08454244494899, -1.6558434106198334;"{""coordinates"": [[[-1.660705241317966, 48.08462079673447], [-1.659817136575397, 48.08460979916319], [-1.659176492492794, 48.084601861306346], [-1.658422727906756, 48.08458532993342], [-1.657614402599146, 48.08456759707697], [-1.657185633746823, 48.08456392644934], [-1.656935590913667, 48.08456178473589], [-1.654929718179528, 48.08452880485082], [-1.653948226557045, 48.084513813559894], [-1.652414497388607, 48.0844803569643], [-1.651197720889004, 48.08445379935962], [-1.650998135997963, 48.08453730193562]]], ""type"": ""MultiLineString""}";circuit_vh.344;344;RS;N3;non
48.08629286048968, -1.6531597318129023;"{""coordinates"": [[[-1.652414497388607, 48.0844803569643], [-1.652350745897176, 48.08451645458114], [-1.65232852750371, 48.084539766135045], [-1.652324483306262, 48.08456234105429], [-1.652335583993391, 48.084584303777085], [-1.652368800998954, 48.08461555767855], [-1.652403767624751, 48.08463247964157]], [[-1.652403767624751, 48.08463247964157], [-1.653945501818925, 48.08465757671276]], [[-1.653945501818925, 48.08465757671276], [-1.653939888754091, 48.08495371117189], [-1.653915207358394, 48.08556716283748], [-1.653908206946113, 48.085747478590115], [-1.653885161104478, 48.08634480966367], [-1.653872588702243, 48.08676244570718], [-1.653840691791546, 48.08756391561087]], [[-1.653840691791546, 48.08756391561087], [-1.652621051900763, 48.08754798251228], [-1.652167706991682, 48.08753834351947], [-1.651411816371589, 48.0875316163352], [-1.651137221491658, 48.08753573172174], [-1.651060253098282, 48.087534843150884]]], ""type"": ""MultiLineString""}";circuit_vh.347;347;RS;N3;non
48.13134191328359, -1.6621033627068083;"{""coordinates"": [[[-1.662804840139699, 48.128214019892035], [-1.663170252260246, 48.128297043116156], [-1.663368253917622, 48.12837969294934], [-1.663418521013292, 48.1284039046404], [-1.663519358991411, 48.12842699877989], [-1.663754903369427, 48.128480943246466], [-1.664145490363712, 48.12855226696581]], [[-1.664145490363712, 48.12855226696581], [-1.663697574382537, 48.1291071373555], [-1.66363496433257, 48.12919469014338], [-1.663304493984376, 48.129663474958434], [-1.662816636621425, 48.130480419923046], [-1.662744968433464, 48.130592936406956], [-1.662565117301547, 48.13094898751631], [-1.661862289432283, 48.132029615227474], [-1.661632705544924, 48.13236558769726], [-1.661388757147037, 48.13272257583535], [-1.661367828426494, 48.13283766197318], [-1.661274466386658, 48.132960346229495], [-1.661052082754888, 48.133169008549295], [-1.660447002426444, 48.133753743052395], [-1.660264970314551, 48.13392091135005], [-1.660191367754398, 48.13401693906172], [-1.659958048711029, 48.13430526915787], [-1.659603567036125, 48.13512162430611]]], ""type"": ""MultiLineString""}";circuit_vh.138;138;RN;N2;non
48.13346224845918, -1.6606026157106915;"{""coordinates"": [[[-1.661388757147037, 48.13272257583535], [-1.661241048715981, 48.13282181730249], [-1.661050905888245, 48.13301104930449], [-1.660335065788594, 48.13369061844985], [-1.660234611163799, 48.1337831657017], [-1.660070782729502, 48.13397716495413], [-1.659958048711029, 48.13430526915787]]], ""type"": ""MultiLineString""}";circuit_vh.139;139;RN;N2;non
