Identifiant;Date de début de version;Date de fin de version;Est la version active;Nom court;Nom long;Famille commerciale;Parcours principal aller (ID);Parcours principal retour (ID);Billettique (ID);Couleur de tracé de la ligne;Couleur de texte de la ligne;Visibilité;Routeid gtfs/gtfs-rt
0123;2022-10-24;;Oui;N3;Rennes (République) <> Bruz (Schuman);STAR de Nuit;0123-A-1732-2309;0123-B-2319-1732;123;#d39d2f;#1a171b;Grand public;
0155;2022-10-24;;Oui;155ex;Rennes (République) <> Mordelles <> Le Verger (Le Verger Eglise);Express;0155-A-1214-4408;0155-B-4401-1090;155;#ffdd00;#3d3c3f;Grand public;
0156;2002-01-01;;Oui;156ex;Rennes (République) <> Chavagne (Croix Blanche);Express;0156-A-1214-4201;0156-B-4201-1090;156;#ffdd00;#3d3c3f;Grand public;
0161;2002-01-01;;Oui;161ex;Rennes (Henri Fréville) <> Noyal-Châtillon-sur-Seiche <> Saint-Erblon <> Bourgbarré (Centre de Loisirs);Express;0161-A-1510-3801;0161-B-3801-1510;161;#ffdd00;#3d3c3f;Grand public;
0167;2015-08-31;;Oui;167ex;Brécé (Anjou) <> Cesson-Sévigné <> Rennes (République);Express;0167-A-4151-1167;0167-B-1167-4151;167;#ffdd00;#3d3c3f;Grand public;
0175;2022-10-24;;Oui;175ex;Rennes (La Poterie) <> Nouvoitou (Parc des Sports);Express;0175-A-3401-1511;0175-B-1511-3401;175;#ffdd00;#3d3c3f;Grand public;
0225;2018-09-03;;Oui;225;Saint-Grégoire (Jean-Paul II) <> Pacé (Pâtis Roussel);Complémentaire;0225-A-2841-3125;0225-B-3125-2841;225;#e30613;#ffffff;Grand public;
0232;2021-05-03;;Oui;232;Vern-sur-Seiche (Hauts de Gaudon) <> Vern-sur-Seiche (La Poste);Complémentaire;0232-A-2645-2603;0232-B-2619-2645;232;#009fe3;#ffffff;Grand public;
0235;2002-01-01;;Oui;235;Pont-Péan (Mouton Blanc) <> Laillé <> Orgères (L'Hermitière Village);Complémentaire;0235-A-3914-3251;0235-B-3245-3903;235;#fecc00;#1a171b;Grand public;
0237;2016-09-01;;Oui;237;Le Rheu (Collège Brassens) <> Chavagne (Croix Blanche);Complémentaire;0237-A-2534-4212;0237-B-4201-2502;237;#e30613;#ffffff;Grand public;
0238;2002-01-01;;Oui;238;Le Rheu (Collège Brassens) <> L'Hermitage <> La Chapelle-Thouarault (Ville aux Archers);Complémentaire;0238-A-2534-4270;0238-B-4267-2502;238;#ba67a6;#ffffff;Grand public;
0411;2002-01-01;;Oui;Ts11;Bruz (Aire du 8 Mai) <> Laillé (Château d'Eau);Transport scolaire;0411-A-2367-4711;0411-B-4712-2367;9999;#e30613;#ffffff;Grand public;
0436;2022-10-03;;Oui;Ts36;Cintré (Chêne Lierru) <> Mordelles (Morvan Lebesque);Transport scolaire;0436-A-4662-3880;0436-B-3880-4655;9999;#f39200;#ffffff;Grand public;
0441;2002-01-01;;Oui;Ts41;La Chapelle-des-Fougeretz (Bersandières) <> Montgermont <> Pacé (Centre scolaire Pacé);Transport scolaire;0441-A-4064-3162;0441-B-3162-4068;9999;#f39200;#ffffff;Grand public;
0457;2020-09-01;;Oui;Ts57;Laillé (Laillé Collège) <> Laillé (Gripay);Transport scolaire;0457-A-4764-4758;0457-B-4759-4764;9999;#009fe3;#ffffff;Grand public;
0471;2022-09-01;;Oui;Ts71;Langan (Rouaudière) <> Romillé (Romillé Collège);Transport scolaire;0471-A-6012-6021;0471-B-6021-6011;9999;#e30613;#ffffff;Grand public;
0491;2019-09-02;;Oui;Ts91;Rennes (Collège Rosa-Parks) <> Vezin-le-Coquet (Vallée);Transport scolaire;0491-A-1569-3764;0491-B-3755-1569;9999;#b269ab;#ffffff;Grand public;
0702;2018-09-02;2025-08-31;Oui;Ill-2;BreizhGo - Rennes (Gare Routière) <> Gaël;BreizhGo;;;;#000000;#ffffff;Grand public;
0709;2018-09-02;2025-08-31;Oui;Ill-9a/b;BreizhGo - Fougères / Dourdain <> Rennes (Gare Routière);BreizhGo;;;;#000000;#ffffff;Grand public;
0754;2018-09-02;2025-08-31;Oui;RPI-2;BreizhGo - Cardroc <> Miniac-sous-Bécherel <> Bécherel;BreizhGo;;;;#000000;#ffffff;Grand public;
0803;2022-10-24;;Oui;API;Api'Bus : Rennes (République) <> Rennes (Etangs d'Apigné);Spéciale;0803-A-1501-1547;0803-B-1548-1615;114;#009c99;#ffffff;Grand public;
0818;2002-01-01;;Oui;E5;Quartiers d'été : Rennes (Pâtis Tatelin) < > Communes;Evènementiel;;;;#000000;#ffffff;Grand public;
