Geo Point;Geo Shape;gml_id;objectid;accident;unite_pv;date;heure;jsem;code_insee;inter;adresse;pr;nomv;numvro;pr_2;nomv_2;numvro_2;vehicule1;vehicule2;vehicule3;vehicule4;vehicule5;vehicule6;usager1;usager2;usager3;usager4;usager5;usager6;usager7;usager8;ntu;nbh;nbnh;pieton;velo;moto;wms_time
48.12491789839501, -1.6570303199767802;"{""coordinates"": [-1.65703031997678, 48.12491789839501], ""type"": ""Point""}";accident.5168;5168;1873;Sécurité publique 0035238 00220;2016-06-05T02:00:00+02:00;21:15;Dimanche;35238;En T;FOUGÈRES/DUPUIS;;Allée Doyen Antoine Dupuis;0;;Rue de Fougères;0;Scooter <= 50 cm3;VL;;;;;Conducteur;Conducteur;;;;;;;0;0;2;Non;Non;Oui;2016-01-01T01:00:00+01:00
48.093612800733965, -1.6710827023976969;"{""coordinates"": [-1.671082702397697, 48.093612800733965], ""type"": ""Point""}";accident.5194;5194;2418;Sécurité publique 0035238 00497;2012-10-13T02:00:00+02:00;23:10;Samedi;35238;En X;CLÉMENCEAU/CHÂTILLON;;BOULEVARD GEORGES CLEMENCEAU;0;;RUE DE CHATILLON;0;Scooter <= 50 cm3;VL;;;;;Conducteur;Conducteur;;;;;;;0;1;0;Non;Non;Oui;2012-01-01T01:00:00+01:00
48.11088028800964, -1.6927010717449242;"{""coordinates"": [-1.692701071744924, 48.11088028800964], ""type"": ""Point""}";accident.5199;5199;2563;Sécurité publique 0035238 00570;2012-11-20T01:00:00+01:00;17:15;Mardi;35238;En X;PAPU/VANEAU;;RUE VANEAU;0;;RUE PAPU;0;VL;motocyclette >50 et <=125 cm3;;;;;Conducteur;Conducteur;;;;;;;0;0;1;Non;Non;Oui;2012-01-01T01:00:00+01:00
48.093819277679195, -1.6745792769964716;"{""coordinates"": [-1.674579276996472, 48.093819277679195], ""type"": ""Point""}";accident.5204;5204;818;Sécurité publique 0035238 00064;2013-02-12T01:00:00+01:00;09:25;Mardi;35238;En X;G.CLÉMENCEAU/H.FRÉVILLE;;Boulevard Georges Clemenceau;4;;Avenue Henri Fréville;4;VU seul 1,5T < PTAC <=3,5T;Scooter <= 50 cm3;;;;;Conducteur;Conducteur;;;;;;;0;0;1;Non;Non;Oui;2013-01-01T01:00:00+01:00
48.094255833013136, -1.6817951534387303;"{""coordinates"": [-1.68179515343873, 48.094255833013136], ""type"": ""Point""}";accident.5229;5229;2195;Sécurité publique 0035238 00026;2016-01-18T01:00:00+01:00;20:00;Lundi;35238;En X;CLEMENCEAU/MOINE;;Boulevard Georges Clemenceau;0;;Rue Louis et René Moine;0;Scooter <= 50 cm3;VL;;;;;Conducteur;Conducteur;;;;;;;0;1;0;Non;Non;Oui;2016-01-01T01:00:00+01:00
48.108430192486274, -1.6531655712490105;"{""coordinates"": [-1.653165571249011, 48.108430192486274], ""type"": ""Point""}";accident.5342;5342;2523;Sécurité publique 0035238 00639;2012-12-19T01:00:00+01:00;08:20;Mercredi;35238;En T;V.MAREUIL/MALIVEL;;Boulevard Villebois-Mareuil;0;;Rue Jeanne Malivel;0;Scooter <= 50 cm3;VL;;;;;Conducteur;Conducteur;;;;;;;0;0;1;Non;Non;Oui;2012-01-01T01:00:00+01:00
48.128551925010534, -1.6641448349077395;"{""coordinates"": [-1.664144834907739, 48.128551925010534], ""type"": ""Point""}";accident.5344;5344;105;Sécurité publique 0035238 00476;2015-11-15T01:00:00+01:00;20:35;Dimanche;35238;En X;PATTON/ARMORIQUE;;Avenue Général George S. Patton;0;;Avenue de Rochester;0;VL;Scooter <= 50 cm3;;;;;Conducteur;Conducteur;;;;;;;0;0;1;Non;Non;Oui;2015-01-01T01:00:00+01:00
48.04499625918565, -1.655934933439985;"{""coordinates"": [-1.655934933439985, 48.04499625918565], ""type"": ""Point""}";accident.5357;5357;2766;Gendarmerie Nationale 0010930 04666;2017-11-08T01:00:00+01:00;19:30;Mercredi;35206;En T;LA PETITE SAUDRAIS - RD;;;0;;;0;VL;motocyclette > 125 cm3;;;;;Conducteur;Conducteur;;;;;;;0;0;1;Non;Non;Oui;2017-01-01T01:00:00+01:00
48.140060034869315, -1.627660041399579;"{""coordinates"": [-1.627660041399579, 48.140060034869315], ""type"": ""Point""}";accident.5385;5385;1224;Gendarmerie Nationale 0007357 01630;2013-06-28T02:00:00+02:00;18:00;Vendredi;35051;Giratoire;;0000+0000;;0;;;0;motocyclette > 125 cm3;VL;;;;;Conducteur;Conducteur;;;;;;;0;1;0;Non;Non;Oui;2013-01-01T01:00:00+01:00
48.0784099970004, -1.6323900194330367;"{""coordinates"": [-1.632390019433037, 48.0784099970004], ""type"": ""Point""}";accident.5433;5433;1316;Sécurité publique 0035238 00114;2016-03-19T01:00:00+01:00;12:15;Samedi;35055;Giratoire;00, 173 RD;0033+0050;173 RD;0;;HALLERAIS (ROND-POINT);0;motocyclette > 125 cm3;Tracteur routier + semi-remorque;;;;;Conducteur;Conducteur;;;;;;;0;0;1;Non;Non;Oui;2016-01-01T01:00:00+01:00
48.13294974776286, -1.662413036858375;"{""coordinates"": [-1.662413036858375, 48.13294974776286], ""type"": ""Point""}";accident.5444;5444;2044;Sécurité publique 0035238 00467;2016-11-03T01:00:00+01:00;13:23;Jeudi;35238;En T;POIRIER NIVET/GANTELLES;;Rue du Poirier Nivet;36;;Rue des Gantelles;36;VL;motocyclette > 125 cm3;;;;;Conducteur;Conducteur;;;;;;;0;0;1;Non;Non;Oui;2016-01-01T01:00:00+01:00
47.99911003000061, -1.7401299582668426;"{""coordinates"": [-1.740129958266843, 47.99911003000061], ""type"": ""Point""}";accident.5505;5505;1132;Gendarmerie Nationale 0000678 02918;2014-09-10T02:00:00+02:00;12:00;Mercredi;35047;hors intersection;;0007+0390;;0;;;0;Scooter <= 50 cm3;VU seul 1,5T < PTAC <=3,5T;VL;;;;Conducteur;Conducteur;Conducteur;;;;;;0;1;0;Non;Non;Oui;2014-01-01T01:00:00+01:00
48.14250883083721, -1.6715153375543828;"{""coordinates"": [-1.671515337554383, 48.14250883083721], ""type"": ""Point""}";accident.5557;5557;3780;Sécurité publique 0035238 00314;2018-08-11T02:00:00+02:00;23:35;Samedi;35278;hors intersection;COUESNON (AVENUE DU);;;0;;;0;Scooter <= 50 cm3;;;;;;Conducteur;;;;;;;;0;0;1;Non;Non;Oui;2018-01-01T01:00:00+01:00
48.13959590842074, -1.6899508187073782;"{""coordinates"": [-1.689950818707378, 48.13959590842074], ""type"": ""Point""}";accident.5597;5597;3132;Sécurité publique 0035238 00519;2017-12-04T01:00:00+01:00;17:45;Lundi;35278;hors intersection;00, CERISAIE (RUE DE LA);;;0;;;0;VL;motocyclette > 125 cm3;;;;;Conducteur;Conducteur;;;;;;;0;0;1;Non;Non;Oui;2017-01-01T01:00:00+01:00
48.09366460858866, -1.6719917973780958;"{""coordinates"": [-1.671991797378096, 48.09366460858866], ""type"": ""Point""}";accident.5683;5683;789;Sécurité publique 0035238 00231;2013-06-07T02:00:00+02:00;22:10;Vendredi;35238;hors intersection;117, BD G.CLÉMENCEAU;;Boulevard Georges Clemenceau;0;;;0;VL;cyclomoteur;;;;;Conducteur;Conducteur;;;;;;;0;0;1;Non;Non;Oui;2013-01-01T01:00:00+01:00
48.273040038958214, -1.8535799707289669;"{""coordinates"": [-1.853579970728967, 48.273040038958214], ""type"": ""Point""}";accident.5687;5687;1371;Gendarmerie Nationale 0014891 03057;2012-07-14T02:00:00+02:00;16:45;Samedi;35058;hors intersection;;0023+0500;;0;;;0;Scooter <= 50 cm3;;;;;;Conducteur;;;;;;;;0;1;0;Non;Non;Oui;2012-01-01T01:00:00+01:00
48.082709962282344, -1.7157999522618193;"{""coordinates"": [-1.715799952261819, 48.082709962282344], ""type"": ""Point""}";accident.5690;5690;1721;Sécurité publique 0035238 00315;2014-06-21T02:00:00+02:00;17:20;Samedi;35281;hors intersection;00, MARIN (RUE JEAN);;MARIN (RUE JEAN);0;;;0;VL;Scooter <= 50 cm3;;;;;Conducteur;Conducteur;;;;;;;0;0;1;Non;Non;Oui;2014-01-01T01:00:00+01:00
48.09900050719046, -1.6756061498116113;"{""coordinates"": [-1.675606149811611, 48.09900050719046], ""type"": ""Point""}";accident.5714;5714;2478;Sécurité publique 0035238 00611;2012-12-07T01:00:00+01:00;18:27;Vendredi;35238;hors intersection;88, RUE DE L'ALMA;;Rue de l'Alma;0;;;0;motocyclette > 125 cm3;VL;;;;;Conducteur;Conducteur;;;;;;;0;0;1;Non;Non;Oui;2012-01-01T01:00:00+01:00
