Identifiant;Numéro de parc;Immatriculation;Marque;Modèle;Version;Dénomination commerciale;Type;Propriété de Rennes Métropole;Longueur;Places assises;Places debout;Places totales;Mise en circulation;Equipé avec le SAEIV;Ecrans;Autonomie;Places UFR;Girouettes (type);Girouettes (nombres);Caméras;Valideurs;Norme Euro;Antipollution;Pneus (type);Pneus (dimension);Boîte de vitesses;Moteur;Pont;Vitrerie;Portes (nombre);Portes (type avant);Portes (type milieu et arrière);Dépôt (code);Transporteur (code)
954;954;;MERCEDES;CITARO ART;;CITARO ART;Articulé;true;18;39;124;163;2013-02-14;true;3;430;2;Leds;4;4;3;EURO 5;ADBLUE;1P;275/70 R22.5;ZF Ecolife 6 AP;OM 457HLA / Euro 5;ZF AV 132;Vénus gris;3;Pneumatique;Coulissante électrique;MIVOIE;KREN
956;956;;MERCEDES;CITARO ART;;CITARO ART;Articulé;true;18;39;124;163;2013-02-14;true;3;430;2;Leds;4;4;3;EURO 5;ADBLUE;1P;275/70 R22.5;ZF Ecolife 6 AP;OM 457HLA / Euro 5;ZF AV 132;Vénus gris;3;Pneumatique;Coulissante électrique;MIVOIE;KREN
959;959;;MERCEDES;CITARO ART;;CITARO ART;Articulé;true;18;59;;;2014-06-26;true;3;430;2;Leds;4;4;3;EURO 6;ADBLUE;1P;275/70 R22.5;;;;Vénus gris;3;Pneumatique;Coulissante électrique;RENNES;KREN
1000;1000;;MERCEDES;CITARO STD;;CITARO STD;Standard;false;12;0;0;0;;true;2;;2;Leds;3;3;3;;;;;;;;;2;;;CHANTEPI;KARM
1005;1005;;MERCEDES;CITARO STD;;CITARO STD;Standard;false;12;0;0;0;;true;2;;2;Leds;3;3;3;;;;;;;;;2;;;CHANTEPI;KARM
1006;1006;;MERCEDES;CITARO STD;;CITARO STD;Standard;false;12;0;0;0;;true;2;;2;Leds;3;3;3;;;;;;;;;2;;;CHANTEPI;KARM
1007;1007;;MERCEDES;CITARO STD;;CITARO STD;Standard;false;12;0;0;0;;true;2;;2;Leds;3;3;3;;;;;;;;;2;;;CHANTEPI;KARM
1011;1011;;MERCEDES;CITARO STD;;CITARO STD;Standard;false;12;0;0;0;;true;2;;2;Leds;3;3;3;;;;;;;;;2;;;CHANTEPI;KARM
1012;1012;;MERCEDES;CITARO STD;;CITARO STD;Standard;false;12;0;0;0;;true;2;;2;Leds;3;3;3;;;;;;;;;2;;;CHANTEPI;KARM
1020;1020;;MAN;LIONS CITY;;LIONS CITY;Standard;false;12;0;0;0;;true;2;;2;Leds;3;3;3;;;;;;;;;2;;;CHANTEPI;KARM
1021;1021;;MAN;LIONS CITY;;LIONS CITY;Standard;false;12;0;0;0;;true;2;;2;Leds;3;3;3;;;;;;;;;2;;;CHANTEPI;KARM
1023;1023;;MAN;LIONS CITY;;LIONS CITY;Standard;false;12;0;0;0;;true;2;;2;Leds;3;3;3;;;;;;;;;2;;;CHANTEPI;KARM
1024;1024;;MAN;LIONS CITY;;LIONS CITY;Standard;false;12;0;0;0;;true;2;;2;Leds;3;3;3;;;;;;;;;2;;;CHANTEPI;KARM
1025;1025;;MAN;LIONS CITY;;LIONS CITY;Standard;false;12;0;0;0;;true;2;;2;Leds;3;3;3;;;;;;;;;2;;;CHANTEPI;KARM
1027;1027;;MAN;LIONS CITY;;LIONS CITY;Standard;false;12;0;0;0;;true;2;;2;Leds;3;3;3;;;;;;;;;2;;;CHANTEPI;KARM
1035;1035;;MAN;LIONS CITY;;LIONS CITY;Standard;false;12;0;0;0;;true;2;;2;Leds;3;3;3;;;;;;;;;2;;;CHANTEPI;KARM
1036;1036;;MAN;LIONS CITY;;LIONS CITY;Standard;false;12;0;0;0;;true;2;;2;Leds;3;3;3;;;;;;;;;2;;;CHANTEPI;KARM
