Ligne (ID);Ligne (nom court);Code du sens;Destination;Point d'arrêt (ID);Point d'arrêt (nom);Coordonnées;Arrivée;Départ;Précision;idRame
1001;a;0;La Poterie;5002;Villejean-Université;48.1211968262371, -1.70388180215011;2025-06-19 19:29:05+0200;2025-06-19T19:29:23+02:00;Applicable;
1001;a;0;La Poterie;5002;Villejean-Université;48.1211968262371, -1.70388180215011;2025-06-19 20:02:53+0200;2025-06-19T20:03:11+02:00;Applicable;
1001;a;0;La Poterie;5001;J.F. Kennedy;48.1212952521027, -1.71094311992153;;2025-06-19T20:50:15+02:00;Applicable;
1001;a;0;La Poterie;5002;Villejean-Université;48.1211968262371, -1.70388180215011;2025-06-19 19:34:43+0200;2025-06-19T19:35:01+02:00;Applicable;
1001;a;0;La Poterie;5002;Villejean-Université;48.1211968262371, -1.70388180215011;2025-06-19 20:14:03+0200;2025-06-19T20:14:21+02:00;Applicable;
1001;a;0;La Poterie;5002;Villejean-Université;48.1211968262371, -1.70388180215011;2025-06-19 17:50:44+0200;2025-06-19T17:51:02+02:00;Temps réel;
1001;a;0;La Poterie;5002;Villejean-Université;48.1211968262371, -1.70388180215011;2025-06-19 19:40:21+0200;2025-06-19T19:40:39+02:00;Applicable;
1001;a;0;La Poterie;5002;Villejean-Université;48.1211968262371, -1.70388180215011;2025-06-19 20:24:16+0200;2025-06-19T20:24:34+02:00;Applicable;
1001;a;0;La Poterie;5002;Villejean-Université;48.1211968262371, -1.70388180215011;2025-06-19 17:52:52+0200;2025-06-19T17:53:10+02:00;Temps réel;
1001;a;0;La Poterie;5002;Villejean-Université;48.1211968262371, -1.70388180215011;2025-06-19 19:43:10+0200;2025-06-19T19:43:28+02:00;Applicable;
1001;a;0;La Poterie;5002;Villejean-Université;48.1211968262371, -1.70388180215011;2025-06-19 20:33:11+0200;2025-06-19T20:33:29+02:00;Applicable;
1001;a;0;La Poterie;5002;Villejean-Université;48.1211968262371, -1.70388180215011;2025-06-19 17:57:45+0200;2025-06-19T17:58:03+02:00;Applicable;
1001;a;0;La Poterie;5002;Villejean-Université;48.1211968262371, -1.70388180215011;2025-06-19 19:45:59+0200;2025-06-19T19:46:17+02:00;Applicable;
1001;a;0;La Poterie;5002;Villejean-Université;48.1211968262371, -1.70388180215011;2025-06-19 20:46:47+0200;2025-06-19T20:47:05+02:00;Applicable;
1001;a;0;La Poterie;5002;Villejean-Université;48.1211968262371, -1.70388180215011;2025-06-19 17:59:30+0200;2025-06-19T17:59:48+02:00;Applicable;
1001;a;0;La Poterie;5002;Villejean-Université;48.1211968262371, -1.70388180215011;2025-06-19 19:48:48+0200;2025-06-19T19:49:06+02:00;Applicable;
1001;a;0;La Poterie;5003;Pontchaillou;48.1215347379187, -1.69334980647373;2025-06-19 17:52:14+0200;2025-06-19T17:52:26+02:00;Temps réel;
1001;a;0;La Poterie;5002;Villejean-Université;48.1211968262371, -1.70388180215011;2025-06-19 18:01:15+0200;2025-06-19T18:01:33+02:00;Applicable;
