annee;mois;date;jourSemaine;semaine;identifiantLigne;nomCourtLigne;typeLigne;categorieLigne;Frequentation
2024;Août;2024-08-26;Lundi;35;2;C2;CHRONOSTAR;CHRONOSTAR;8432.94118
2024;Juillet;2024-07-17;Mercredi;29;64;64;Métropolitaine;Régulières Métropolitaines;752.94118
2024;Octobre;2024-10-14;Lundi;42;2;C2;CHRONOSTAR;CHRONOSTAR;10944.70588
2024;Août;2024-08-26;Lundi;35;3;C3;CHRONOSTAR;CHRONOSTAR;7011.76471
2024;Juillet;2024-07-17;Mercredi;29;72;72;Métropolitaine;Régulières Métropolitaines;1816.47059
2024;Octobre;2024-10-14;Lundi;42;14;14;Urbaine;Régulières Urbaines;7758.82353
2024;Août;2024-08-26;Lundi;35;11;11;Urbaine;Régulières Urbaines;6981.17647
2024;Juillet;2024-07-17;Mercredi;29;73;73;Métropolitaine;Régulières Métropolitaines;598.82353
2024;Octobre;2024-10-14;Lundi;42;34;34;Inter-quartiers;Régulières Urbaines;992.94118
2024;Août;2024-08-26;Lundi;35;12;12;Urbaine;Régulières Urbaines;3076.47059
2024;Juillet;2024-07-17;Mercredi;29;90;90;Intercommunale;Régulières Métropolitaines;63.52941
2024;Octobre;2024-10-14;Lundi;42;55;55;Métropolitaine;Régulières Métropolitaines;2483.52941
2024;Août;2024-08-26;Lundi;35;53;53;Métropolitaine;Régulières Métropolitaines;2202.35294
2024;Juillet;2024-07-17;Mercredi;29;803;API;Spéciale;Lignes Evènementielles;62.35294
2024;Octobre;2024-10-14;Lundi;42;56;56;Métropolitaine;Régulières Métropolitaines;1049.41176
2024;Août;2024-08-26;Lundi;35;54;54;Métropolitaine;Régulières Métropolitaines;2156.47059
2024;Juillet;2024-07-17;Mercredi;29;9999;9999;Non identifié;Non identifiée;282.35294
2024;Octobre;2024-10-14;Lundi;42;67;67;Métropolitaine;Régulières Métropolitaines;1671.76471
2024;Août;2024-08-26;Lundi;35;59;59;Métropolitaine;Régulières Métropolitaines;1677.64706
2024;Juillet;2024-07-18;Jeudi;29;6;C6;CHRONOSTAR;CHRONOSTAR;8712.94118
2024;Octobre;2024-10-14;Lundi;42;70;70;Métropolitaine;Régulières Métropolitaines;147.05882
2024;Août;2024-08-26;Lundi;35;62;62;Métropolitaine;Régulières Métropolitaines;1070.58824
2024;Juillet;2024-07-18;Jeudi;29;10;10;Urbaine;Régulières Urbaines;1342.35294
2024;Octobre;2024-10-14;Lundi;42;77;77;Métropolitaine;Régulières Métropolitaines;2178.82353
2024;Août;2024-08-26;Lundi;35;64;64;Métropolitaine;Régulières Métropolitaines;855.29412
2024;Juillet;2024-07-18;Jeudi;29;37;37;Inter-quartiers;Régulières Urbaines;172.94118
2024;Octobre;2024-10-14;Lundi;42;83;83;Métropolitaine;Régulières Métropolitaines;1288.23529
2024;Août;2024-08-26;Lundi;35;71;71;Métropolitaine;Régulières Métropolitaines;462.35294
2024;Juillet;2024-07-18;Jeudi;29;51;51;Métropolitaine;Régulières Métropolitaines;908.23529
2024;Octobre;2024-10-14;Lundi;42;155;155ex;Express;Régulières Métropolitaines;370.58824
2024;Août;2024-08-26;Lundi;35;78;78;Métropolitaine;Régulières Métropolitaines;997.64706
2024;Juillet;2024-07-18;Jeudi;29;59;59;Métropolitaine;Régulières Métropolitaines;1552.94118
2024;Octobre;2024-10-14;Lundi;42;167;167ex;Express;Régulières Métropolitaines;122.35294
2024;Août;2024-08-26;Lundi;35;804;TTZ;Spéciale;Régulières Métropolitaines;32.94118
2024;Juillet;2024-07-18;Jeudi;29;65;65;Métropolitaine;Régulières Métropolitaines;460.0
2024;Octobre;2024-10-14;Lundi;42;168;168ex;Express;Régulières Métropolitaines;349.41176
2024;Août;2024-08-27;Mardi;35;4;C4;CHRONOSTAR;CHRONOSTAR;11577.64706
2024;Juillet;2024-07-18;Jeudi;29;80;80;Métropolitaine;Régulières Métropolitaines;454.11765
2024;Octobre;2024-10-14;Lundi;42;172;172ex;Express;Régulières Métropolitaines;250.58824
2024;Août;2024-08-27;Mardi;35;32;32;Inter-quartiers;Régulières Urbaines;794.11765
2024;Juillet;2024-07-18;Jeudi;29;81;81;Métropolitaine;Régulières Métropolitaines;360.0
2024;Octobre;2024-10-15;Mardi;42;7;C7;CHRONOSTAR;CHRONOSTAR;4896.47059
